method,endpoint,resource,admin,chunhiem,phuta,phuhuynh,publicAccess,tenant,object,evidence,note
"DELETE","/api/students/:id","students","TENANT_OBJECT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/students.ts:126","GLV parish-wide reads intentional; writes scoped; parent staff endpoint denied"
"GET","/api/grades","grades","TENANT_ACTIVE_STUDENTS","ASSIGNED_STUDENTS_IF_NONEMPTY_ELSE_TENANT_D9","ASSIGNED_STUDENTS_IF_NONEMPTY_ELSE_TENANT_D9","ASSIGNED_STUDENTS_IF_NONEMPTY_ELSE_TENANT_D9","DENY","JWT parishId; no cross-tenant authority","D9_EMPTY_SCOPE_FAIL_OPEN","server/src/routes/grades.ts:64","D9: empty studentIds skips IN predicate; grade nonadmin semester still applies; updatedAfter can empty an otherwise assigned scope"
"POST","/api/grades","grades","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/grades.ts:81","D1: final UPDATE lacks parish predicate for existing grade id+version"
"POST","/api/grades/batch","grades","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/grades.ts:125","D1: final UPDATE lacks parish predicate for existing grade id+version"
"POST","/api/grades/check-import-duplicate","grades","CLASS_AND_IMPORT_SCOPE","CLASS_AND_IMPORT_SCOPE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CLASS_AND_IMPORT_SCOPE","server/src/routes/grades.ts:152","Admin tenant-wide; other roles assignment-filtered; auth-only reads do not separately deny corrupt parent assignments (H4)"
"POST","/api/grades/register-import","grades","CLASS_AND_IMPORT_SCOPE","CLASS_AND_IMPORT_SCOPE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CLASS_AND_IMPORT_SCOPE","server/src/routes/grades.ts:189","Admin tenant-wide; other roles assignment-filtered; auth-only reads do not separately deny corrupt parent assignments (H4)"
"POST","/api/grades/undo-import","grades","CLASS_AND_IMPORT_SCOPE","CLASS_AND_IMPORT_SCOPE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CLASS_AND_IMPORT_SCOPE","server/src/routes/grades.ts:222","Admin tenant-wide; other roles assignment-filtered; auth-only reads do not separately deny corrupt parent assignments (H4)"
"PATCH","/api/grades/:id/override","grades","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/grades.ts:262","Override/restore service reloads role and assignment in transaction; tenant-scoped repository"
"DELETE","/api/grades/:id/override","grades","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/grades.ts:293","Override/restore service reloads role and assignment in transaction; tenant-scoped repository"
"GET","/api/grades/:id/override/history","grades","TENANT_OBJECT","CURRENT_STUDENT_CLASS","CURRENT_STUDENT_CLASS","CURRENT_STUDENT_CLASS","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/grades.ts:319","Override/restore service reloads role and assignment in transaction; tenant-scoped repository"
"POST","/api/grades/restore-batch","grades","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/grades.ts:337","Admin tenant-wide; other roles assignment-filtered; auth-only reads do not separately deny corrupt parent assignments (H4)"
"GET","/api/attendance","attendance","TENANT_ACTIVE_STUDENTS","ASSIGNED_STUDENTS_IF_NONEMPTY_ELSE_TENANT_D9","ASSIGNED_STUDENTS_IF_NONEMPTY_ELSE_TENANT_D9","ASSIGNED_STUDENTS_IF_NONEMPTY_ELSE_TENANT_D9","DENY","JWT parishId; no cross-tenant authority","D9_EMPTY_SCOPE_FAIL_OPEN","server/src/routes/attendance.ts:26","D9: empty studentIds skips IN predicate; grade nonadmin semester still applies; updatedAfter can empty an otherwise assigned scope"
"POST","/api/attendance","attendance","TENANT_OBJECT","CURRENT_STUDENT_CLASS","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/attendance.ts:51","Admin tenant-wide; other roles assignment-filtered; auth-only reads do not separately deny corrupt parent assignments (H4)"
"POST","/api/attendance/batch","attendance","TENANT_OBJECT","CURRENT_STUDENT_CLASS","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/attendance.ts:87","Admin tenant-wide; other roles assignment-filtered; auth-only reads do not separately deny corrupt parent assignments (H4)"
"GET","/api/notices","notices","TENANT_AUDIENCE_FILTER","TENANT_AUDIENCE_FILTER","TENANT_AUDIENCE_FILTER","TENANT_AUDIENCE_FILTER","DENY","JWT parishId; no cross-tenant authority","TENANT_AUDIENCE_FILTER","server/src/routes/notices.ts:25","CN can manage parish-wide notices; no creator ownership policy"
"POST","/api/notices","notices","TENANT_SHARED_NOTICE","TENANT_SHARED_NOTICE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_NOTICE","server/src/routes/notices.ts:34","CN can manage parish-wide notices; no creator ownership policy"
"PUT","/api/notices/:id","notices","TENANT_SHARED_NOTICE","TENANT_SHARED_NOTICE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_NOTICE","server/src/routes/notices.ts:44","CN can manage parish-wide notices; no creator ownership policy"
"DELETE","/api/notices/:id","notices","TENANT_SHARED_NOTICE","TENANT_SHARED_NOTICE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_NOTICE","server/src/routes/notices.ts:56","CN can manage parish-wide notices; no creator ownership policy"
"POST","/api/notifications/subscribe","notifications","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","DENY","JWT parishId; no cross-tenant authority","SELF_SUBSCRIPTION","server/src/routes/notifications.ts:83","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/notifications/native/register","notifications","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","DENY","JWT parishId; no cross-tenant authority","SELF_SUBSCRIPTION","server/src/routes/notifications.ts:105","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/notifications/native/unregister","notifications","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","DENY","JWT parishId; no cross-tenant authority","SELF_SUBSCRIPTION","server/src/routes/notifications.ts:139","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/notifications/unsubscribe","notifications","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","SELF_SUBSCRIPTION","DENY","JWT parishId; no cross-tenant authority","SELF_SUBSCRIPTION","server/src/routes/notifications.ts:162","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/notifications/send","notifications","TENANT_BROADCAST","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_BROADCAST","server/src/routes/notifications.ts:169","Sunday manual trigger permits CN parish-wide; /send admin-only"
"GET","/api/notifications/vapid-public-key","notifications","PUBLIC_KEY_AUTHENTICATED","PUBLIC_KEY_AUTHENTICATED","PUBLIC_KEY_AUTHENTICATED","PUBLIC_KEY_AUTHENTICATED","DENY","JWT parishId; no cross-tenant authority","PUBLIC_KEY_AUTHENTICATED","server/src/routes/notifications.ts:196","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/notifications/subscriptions","notifications","SELF_SUBSCRIPTION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SELF_SUBSCRIPTION","server/src/routes/notifications.ts:206","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/notifications/smart/absence","notifications","ASSIGNED_CLASS_RECIPIENTS","ASSIGNED_CLASS_RECIPIENTS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ASSIGNED_CLASS_RECIPIENTS","server/src/routes/notifications.ts:219","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/notifications/smart/report-cards","notifications","CLASS_CHECK_THEN_CALLER_PHONE","CLASS_CHECK_THEN_CALLER_PHONE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CLASS_CHECK_THEN_CALLER_PHONE","server/src/routes/notifications.ts:255","D3 authorization identity differs from recipient identity; global fallback H5"
"POST","/api/notifications/smart/reminder/sunday","notifications","TENANT_BROADCAST","TENANT_BROADCAST","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_BROADCAST","server/src/routes/notifications.ts:300","Sunday manual trigger permits CN parish-wide; /send admin-only"
"POST","/api/notifications/smart/reminder/class","notifications","ASSIGNED_CLASS_RECIPIENTS","ASSIGNED_CLASS_RECIPIENTS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ASSIGNED_CLASS_RECIPIENTS","server/src/routes/notifications.ts:306","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/users/catechists","users","TENANT_MINIMIZED_DIRECTORY","TENANT_MINIMIZED_DIRECTORY","TENANT_MINIMIZED_DIRECTORY","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_MINIMIZED_DIRECTORY","server/src/routes/users.ts:45","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"GET","/api/users/parent-provision-preview","users","TENANT_USER","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER","server/src/routes/users.ts:54","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"POST","/api/users/provision-parents","users","TENANT_USER+ADMIN_REAUTH","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER+ADMIN_REAUTH","server/src/routes/users.ts:66","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"GET","/api/users","users","TENANT_USER","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER","server/src/routes/users.ts:79","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"GET","/api/users/:id","users","TENANT_USER","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER","server/src/routes/users.ts:87","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"POST","/api/users","users","TENANT_USER","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER","server/src/routes/users.ts:95","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"PUT","/api/users/:id/status","users","TENANT_USER","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER","server/src/routes/users.ts:117","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"POST","/api/users/:id/reset-password","users","TENANT_USER+ADMIN_REAUTH","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER+ADMIN_REAUTH","server/src/routes/users.ts:139","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"POST","/api/users/:id/reveal-password","users","410_REMOVED","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","410_REMOVED","server/src/routes/users.ts:158","No plaintext/reversible reveal endpoint"
"PUT","/api/users/:id/phone","users","TENANT_USER+ADMIN_REAUTH","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER+ADMIN_REAUTH","server/src/routes/users.ts:171","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"PUT","/api/users/:id/assignments","users","TENANT_USER","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER","server/src/routes/users.ts:191","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"POST","/api/users/:id/force-logout","users","TENANT_USER","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER","server/src/routes/users.ts:213","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"DELETE","/api/users/:id","users","TENANT_USER+ADMIN_REAUTH","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_USER+ADMIN_REAUTH","server/src/routes/users.ts:226","Admin mutation; target+references tenant; D6 superadmin target identity only userId"
"GET","/api/classes","classes","TENANT_METADATA","TENANT_METADATA","TENANT_METADATA","TENANT_METADATA","DENY","JWT parishId; no cross-tenant authority","TENANT_METADATA","server/src/routes/classes.ts:27","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"GET","/api/classes/available-teachers","classes","TENANT_METADATA","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_METADATA","server/src/routes/classes.ts:48","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"POST","/api/classes/:id/assignments","classes","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/classes.ts:54","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"PUT","/api/classes/:id/assignments","classes","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/classes.ts:69","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"DELETE","/api/classes/:id/assignments/:userId","classes","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/classes.ts:91","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"GET","/api/classes/branches","classes","TENANT_METADATA","TENANT_METADATA","TENANT_METADATA","TENANT_METADATA","DENY","JWT parishId; no cross-tenant authority","TENANT_METADATA","server/src/routes/classes.ts:103","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"GET","/api/classes/academic-years","classes","TENANT_METADATA","TENANT_METADATA","TENANT_METADATA","TENANT_METADATA","DENY","JWT parishId; no cross-tenant authority","TENANT_METADATA","server/src/routes/classes.ts:112","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"POST","/api/classes/academic-years","classes","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/classes.ts:137","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"GET","/api/classes/:id","classes","TENANT_METADATA","TENANT_METADATA","TENANT_METADATA","TENANT_METADATA","DENY","JWT parishId; no cross-tenant authority","TENANT_METADATA","server/src/routes/classes.ts:187","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"POST","/api/classes","classes","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/classes.ts:197","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"PUT","/api/classes/:id","classes","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/classes.ts:229","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"DELETE","/api/classes/:id","classes","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/classes.ts:252","Nonadmin class reads strip other teacher assignments; assignment mutation validates eligible staff"
"GET","/api/audit-logs","auditLogs","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/auditLogs.ts:13","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/audit-logs/policy-history","auditLogs","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/auditLogs.ts:98","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/settings","settings","TENANT","TENANT","TENANT","TENANT","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/settings.ts:136","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"PUT","/api/settings","settings","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/settings.ts:190","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/promotion/evaluate/:studentId","promotion","TENANT_OBJECT","CURRENT_STUDENT_CLASS","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/promotion.ts:21","Server evaluates policy; caller scores do not create authority; target class tenant checked"
"POST","/api/promotion/approve","promotion","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/promotion.ts:60","Server evaluates policy; caller scores do not create authority; target class tenant checked"
"POST","/api/promotion/batch-approve","promotion","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/promotion.ts:101","Server evaluates policy; caller scores do not create authority; target class tenant checked"
"GET","/api/reports/report-card/:studentId","reporting","TENANT_OBJECT","ASSIGNED_CLASS","ASSIGNED_CLASS","CURRENT_PHONE_CHILD","DENY","JWT parishId; no cross-tenant authority","CLASS_OR_CURRENT_PARENT_CHILD","server/src/routes/reporting.ts:15","Read context authorized in tx; parent phone ownership; PDF renderer does not query child data"
"GET","/api/reports/class-summary/:classId","reporting","TENANT_OBJECT","ASSIGNED_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ASSIGNED_CLASS","server/src/routes/reporting.ts:48","Read context authorized in tx; parent phone ownership; PDF renderer does not query child data"
"POST","/api/reports/generate-pdf","reporting","CALLER_HTML_ONLY","CALLER_HTML_ONLY","CALLER_HTML_ONLY","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CALLER_HTML_ONLY","server/src/routes/reporting.ts:76","Read context authorized in tx; parent phone ownership; PDF renderer does not query child data"
"POST","/api/verification/sign","verification","TENANT_STUDENT","TENANT_STUDENT","TENANT_STUDENT","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_STUDENT","server/src/routes/verification.ts:19","D10: broad staff signing; arbitrary cert/year tuple; no issuance record or content digest"
"GET","/api/verification/verify","verification","SIGNED_STUDENT_IDENTITY","SIGNED_STUDENT_IDENTITY","SIGNED_STUDENT_IDENTITY","SIGNED_STUDENT_IDENTITY","HMAC_CAPABILITY","Signed parish/student/year/cert","SIGNED_STUDENT_IDENTITY","server/src/routes/verification.ts:76","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/backup/export","backup","TENANT+ADMIN_REAUTH","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT+ADMIN_REAUTH","server/src/routes/backup.ts:158","Restore forces row parish and composite IDs; no users/auth sessions restored"
"POST","/api/backup/restore","backup","TENANT+ADMIN_REAUTH","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT+ADMIN_REAUTH","server/src/routes/backup.ts:291","Restore forces row parish and composite IDs; no users/auth sessions restored"
"GET","/api/semester-locks","semesterLocks","TENANT","TENANT","TENANT","TENANT","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/semesterLocks.ts:31","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/semester-locks","semesterLocks","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/semesterLocks.ts:47","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/academic-years","academicYears","TENANT","TENANT","TENANT","TENANT","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:17","Static route/service reconstruction; no per-endpoint runtime completeness claim"
